service_id,route_id,trip_id,direction_id,trip_headsign,block_id,shape_id
WK,BLUE,WK_159792,0,HITEC City,WK_31901,BLUE1
WK,BLUE,WK_159794,0,HITEC City,WK_35001,BLUE1
WK,BLUE,WK_159796,0,HITEC City,WK_31301,BLUE1
WK,BLUE,WK_159804,0,HITEC City,WK_30501,BLUE1
WK,BLUE,WK_159823,0,Raidurg,WK_31001,BLUE1
WK,BLUE,WK_159829,1,Nagole,WK_31001,BLUE2
WK,RED,WK_159908,0,L. B. Nagar,WK_11801,RED1
WK,RED,WK_159909,1,Miyapur,WK_11801,RED2
WK,GREEN,WK_159989,0,JBS Parade Ground,WK_20101,GREEN1
WK,GREEN,WK_159990,1,Mahatma Gandhi Bus Station,WK_20101,GREEN2
WK,GREEN,WK_159991,0,JBS Parade Ground,WK_20201,GREEN1
WK,GREEN,WK_159992,1,Mahatma Gandhi Bus Station,WK_20201,GREEN2
WK,GREEN,WK_159993,0,JBS Parade Ground,WK_20301,GREEN1
WK,GREEN,WK_159994,1,Mahatma Gandhi Bus Station,WK_20301,GREEN2
WK,GREEN,WK_159995,0,JBS Parade Ground,WK_20101,GREEN1
WK,GREEN,WK_159996,1,Mahatma Gandhi Bus Station,WK_20101,GREEN2
WK,GREEN,WK_159997,0,JBS Parade Ground,WK_20201,GREEN1
WK,GREEN,WK_159998,1,Mahatma Gandhi Bus Station,WK_20201,GREEN2
WK,GREEN,WK_159999,0,JBS Parade Ground,WK_20301,GREEN1
WK,GREEN,WK_160000,1,Mahatma Gandhi Bus Station,WK_20301,GREEN2
WK,GREEN,WK_160001,0,JBS Parade Ground,WK_20101,GREEN1
WK,GREEN,WK_160002,1,Mahatma Gandhi Bus Station,WK_20101,GREEN2
WK,GREEN,WK_160009,0,Secunderabad West,WK_20301,GREEN1
WK,GREEN,WK_160017,1,Mahatma Gandhi Bus Station,WK_20201,GREEN2
WK,GREEN,WK_160018,0,JBS Parade Ground,WK_20201,GREEN1
WK,BLUE,WK_160022,0,Raidurg,WK_34801,BLUE1
WK,BLUE,WK_160023,1,Nagole,WK_34801,BLUE2
WK,BLUE,WK_160029,0,HITEC City,WK_34901,BLUE1
WK,BLUE,WK_160034,1,Nagole,WK_31201,BLUE2
WK,BLUE,WK_160037,1,Ameerpet,WK_400201,BLUE2
WK,BLUE,WK_160038,0,Raidurg,WK_400201,BLUE1
WK,BLUE,WK_160042,0,Raidurg,WK_8701,BLUE1
WK,BLUE,WK_160045,1,Mettuguda,WK_8601,BLUE2
WK,BLUE,WK_160046,0,Raidurg,WK_8601,BLUE1
WK,BLUE,WK_160053,0,Raidurg,WK_8801,BLUE1
WK,BLUE,WK_160054,1,Mettuguda,WK_8801,BLUE2
WK,BLUE,WK_160058,1,Mettuguda,WK_8701,BLUE2
WK,BLUE,WK_160060,0,Raidurg,WK_8701,BLUE1
WK,BLUE,WK_160064,1,Nagole,WK_8501,BLUE2
WK,BLUE,WK_160068,1,Nagole,WK_8601,BLUE2
WK,BLUE,WK_160072,1,Nagole,WK_8801,BLUE2
WK,BLUE,WK_160076,1,Nagole,WK_8701,BLUE2
WK,BLUE,WK_160425,0,Raidurg,WK_30801,BLUE1
WK,BLUE,WK_160427,0,Raidurg,WK_34801,BLUE1
WK,BLUE,WK_160429,0,Raidurg,WK_31001,BLUE1
WK,BLUE,WK_160431,0,Raidurg,WK_34901,BLUE1
WK,BLUE,WK_160433,0,Raidurg,WK_31901,BLUE1
WK,BLUE,WK_160435,0,Raidurg,WK_35001,BLUE1
WK,BLUE,WK_160437,0,Raidurg,WK_30301,BLUE1
WK,BLUE,WK_160439,0,Raidurg,WK_35101,BLUE1
WK,BLUE,WK_160441,0,Raidurg,WK_30401,BLUE1
WK,BLUE,WK_160443,0,Raidurg,WK_31401,BLUE1
WK,BLUE,WK_160489,0,Raidurg,WK_31701,BLUE1
WK,BLUE,WK_160491,0,Raidurg,WK_30901,BLUE1
WK,BLUE,WK_160493,0,Raidurg,WK_31801,BLUE1
WK,BLUE,WK_160495,0,Raidurg,WK_30101,BLUE1
WK,BLUE,WK_160497,0,Raidurg,WK_31201,BLUE1
WK,BLUE,WK_160499,0,Raidurg,WK_30201,BLUE1
WK,BLUE,WK_160501,0,Raidurg,WK_31301,BLUE1
WK,BLUE,WK_160503,0,Raidurg,WK_32101,BLUE1
WK,BLUE,WK_160505,0,Raidurg,WK_30501,BLUE1
WK,BLUE,WK_160516,1,Nagole,WK_30801,BLUE2
WK,BLUE,WK_160518,0,Raidurg,WK_34701,BLUE1
WK,BLUE,WK_160520,1,Nagole,WK_31701,BLUE2
WK,BLUE,WK_160521,1,Nagole,WK_30901,BLUE2
WK,BLUE,WK_160522,1,Nagole,WK_31001,BLUE2
WK,BLUE,WK_160523,1,Nagole,WK_31801,BLUE2
WK,BLUE,WK_160524,1,Nagole,WK_30101,BLUE2
WK,BLUE,WK_160525,1,Nagole,WK_31901,BLUE2
WK,BLUE,WK_160526,1,Nagole,WK_31201,BLUE2
WK,BLUE,WK_160527,1,Nagole,WK_30201,BLUE2
WK,BLUE,WK_160528,1,Nagole,WK_30301,BLUE2
WK,BLUE,WK_160529,1,Nagole,WK_31301,BLUE2
WK,BLUE,WK_160530,1,Nagole,WK_32101,BLUE2
WK,BLUE,WK_160531,1,Nagole,WK_30401,BLUE2
WK,BLUE,WK_160532,1,Nagole,WK_30501,BLUE2
WK,BLUE,WK_160533,1,Nagole,WK_31401,BLUE2
WK,BLUE,WK_160534,1,Nagole,WK_30601,BLUE2
WK,BLUE,WK_160548,0,Raidurg,WK_35501,BLUE1
WK,BLUE,WK_160552,0,Raidurg,WK_30601,BLUE1
WK,BLUE,WK_160558,1,Nagole,WK_30701,BLUE2
